Namespace(aux_classes=4, batch_size=32, burnin=10, conv_bias=True, dataset='ASL-DVS', delta_t=1, epochs=400, fc_bias=True, init_gain_backbone=0.5, init_gain_fc=1, k1=7, k2=7, log_int=10, lr=1e-05, lr_div=100, n_train=14, none_act=0.05, oc1=8, oc2=24, reset=1, save_int=5, target_act=0.95, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.5, train_samples=1000)
03b9330d-0a07-4286-946a-5d2cf1684b46
Start Training Backbone
Epoch 1 | Batch 0/438 | Loss 4004.625244 | Rotate Loss 3592.355469 | Time 0.902853
Epoch 1 | Batch 10/438 | Loss 4034.414129 | Rotate Loss 3516.533381 | Time 0.970677
Epoch 1 | Batch 20/438 | Loss 3967.335635 | Rotate Loss 3420.496652 | Time 0.960869
Epoch 1 | Batch 30/438 | Loss 3876.636412 | Rotate Loss 3375.617944 | Time 0.947689
Epoch 1 | Batch 40/438 | Loss 3794.343821 | Rotate Loss 3325.401486 | Time 0.953731
Epoch 1 | Batch 50/438 | Loss 3693.735644 | Rotate Loss 3266.686887 | Time 0.957138
Epoch 1 | Batch 60/438 | Loss 3607.984287 | Rotate Loss 3213.354252 | Time 0.947850
Epoch 1 | Batch 70/438 | Loss 3523.400563 | Rotate Loss 3152.268211 | Time 0.952003
Epoch 1 | Batch 80/438 | Loss 3437.043641 | Rotate Loss 3103.096258 | Time 0.949602
Epoch 1 | Batch 90/438 | Loss 3349.470961 | Rotate Loss 3044.735834 | Time 0.959111
Epoch 1 | Batch 100/438 | Loss 3267.486024 | Rotate Loss 2989.655709 | Time 0.958032
Epoch 1 | Batch 110/438 | Loss 3186.520369 | Rotate Loss 2932.285930 | Time 0.952566
Epoch 1 | Batch 120/438 | Loss 3107.273951 | Rotate Loss 2877.319021 | Time 0.959485
Epoch 1 | Batch 130/438 | Loss 3029.932401 | Rotate Loss 2827.507514 | Time 0.959887
Epoch 1 | Batch 140/438 | Loss 2961.000161 | Rotate Loss 2775.366827 | Time 0.958748
Epoch 1 | Batch 150/438 | Loss 2891.677531 | Rotate Loss 2732.174100 | Time 0.956529
Epoch 1 | Batch 160/438 | Loss 2827.171638 | Rotate Loss 2688.133492 | Time 0.958730
Epoch 1 | Batch 170/438 | Loss 2765.922023 | Rotate Loss 2651.360403 | Time 0.952352
Epoch 1 | Batch 180/438 | Loss 2708.649612 | Rotate Loss 2616.390668 | Time 0.946572
Epoch 1 | Batch 190/438 | Loss 2654.831200 | Rotate Loss 2583.160872 | Time 0.956829
Epoch 1 | Batch 200/438 | Loss 2604.575398 | Rotate Loss 2552.447703 | Time 0.961953
Epoch 1 | Batch 210/438 | Loss 2553.736277 | Rotate Loss 2524.504536 | Time 0.951938
Epoch 1 | Batch 220/438 | Loss 2507.270918 | Rotate Loss 2498.036464 | Time 0.951477
Epoch 1 | Batch 230/438 | Loss 2464.704105 | Rotate Loss 2473.989499 | Time 0.950792
Epoch 1 | Batch 240/438 | Loss 2420.379508 | Rotate Loss 2451.844739 | Time 0.955037
Epoch 1 | Batch 250/438 | Loss 2376.053606 | Rotate Loss 2430.872666 | Time 0.948107
Epoch 1 | Batch 260/438 | Loss 2331.791805 | Rotate Loss 2410.498084 | Time 0.953304
Epoch 1 | Batch 270/438 | Loss 2287.823615 | Rotate Loss 2391.269358 | Time 0.949965
Epoch 1 | Batch 280/438 | Loss 2244.114234 | Rotate Loss 2373.118216 | Time 0.956104
Epoch 1 | Batch 290/438 | Loss 2200.274575 | Rotate Loss 2355.548258 | Time 0.941694
Epoch 1 | Batch 300/438 | Loss 2155.174322 | Rotate Loss 2339.247430 | Time 0.952387
Epoch 1 | Batch 310/438 | Loss 2109.954511 | Rotate Loss 2324.061998 | Time 0.956698
Epoch 1 | Batch 320/438 | Loss 2066.516649 | Rotate Loss 2310.408745 | Time 0.955869
Epoch 1 | Batch 330/438 | Loss 2024.844360 | Rotate Loss 2296.431045 | Time 0.956084
Epoch 1 | Batch 340/438 | Loss 1985.593426 | Rotate Loss 2282.932082 | Time 0.955235
Epoch 1 | Batch 350/438 | Loss 1948.242615 | Rotate Loss 2270.906550 | Time 0.961578
Epoch 1 | Batch 360/438 | Loss 1912.362329 | Rotate Loss 2258.986150 | Time 0.962541
Epoch 1 | Batch 370/438 | Loss 1878.503664 | Rotate Loss 2248.205304 | Time 0.955955
Epoch 1 | Batch 380/438 | Loss 1846.363535 | Rotate Loss 2237.115568 | Time 0.959423
Epoch 1 | Batch 390/438 | Loss 1815.071344 | Rotate Loss 2227.127058 | Time 0.956695
Epoch 1 | Batch 400/438 | Loss 1786.042067 | Rotate Loss 2217.514826 | Time 0.961804
Epoch 1 | Batch 410/438 | Loss 1757.669075 | Rotate Loss 2208.477789 | Time 0.960945
Epoch 1 | Batch 420/438 | Loss 1730.866196 | Rotate Loss 2200.104207 | Time 0.960130
Epoch 1 | Batch 430/438 | Loss 1705.681092 | Rotate Loss 2192.320249 | Time 0.964484
Epoch 1 : Accuracy 7.600000, Rotate Accuracy 25.216071, Time 1011.652133
Epoch 2 | Batch 0/438 | Loss 644.466553 | Rotate Loss 1819.179688 | Time 0.905998
Epoch 2 | Batch 10/438 | Loss 606.516052 | Rotate Loss 1821.481179 | Time 0.931896
Epoch 2 | Batch 20/438 | Loss 612.141814 | Rotate Loss 1824.890067 | Time 0.952562
Epoch 2 | Batch 30/438 | Loss 607.644319 | Rotate Loss 1827.118070 | Time 0.939766
Epoch 2 | Batch 40/438 | Loss 605.740440 | Rotate Loss 1826.931402 | Time 0.946157
Epoch 2 | Batch 50/438 | Loss 604.214310 | Rotate Loss 1830.234375 | Time 0.960033
Epoch 2 | Batch 60/438 | Loss 604.716469 | Rotate Loss 1832.268955 | Time 0.945926
Epoch 2 | Batch 70/438 | Loss 603.390775 | Rotate Loss 1832.628411 | Time 0.943946
Epoch 2 | Batch 80/438 | Loss 603.499363 | Rotate Loss 1832.145640 | Time 0.945169
Epoch 2 | Batch 90/438 | Loss 603.957344 | Rotate Loss 1831.132040 | Time 0.948613
Epoch 2 | Batch 100/438 | Loss 602.428551 | Rotate Loss 1831.689279 | Time 0.940978
Epoch 2 | Batch 110/438 | Loss 600.754126 | Rotate Loss 1831.689717 | Time 0.945306
Epoch 2 | Batch 120/438 | Loss 600.259691 | Rotate Loss 1832.289030 | Time 0.938100
