Namespace(batch_size=138, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, tau_mem_high=15.0, tau_mem_low=15.0, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=100, train_tau=False)
442bb9ea-94c1-49bb-809a-5e521a7b83c0
Start Training Backbone
Epoch 1 | Batch 0/47 | Loss 7.7298 | Rotate Loss 3.4383 | Accuracy 1.449275 | Rotate Accuracy 28.9855 | Time 18.7230
Epoch 1 | Batch 5/47 | Loss 7.0198 | Rotate Loss 3.1017 | Accuracy 2.173913 | Rotate Accuracy 23.4300 | Time 19.6518
Epoch 1 | Batch 10/47 | Loss 6.7753 | Rotate Loss 2.4249 | Accuracy 1.976285 | Rotate Accuracy 25.6258 | Time 19.0919
Epoch 1 | Batch 15/47 | Loss 6.5066 | Rotate Loss 2.1242 | Accuracy 1.947464 | Rotate Accuracy 30.0725 | Time 19.7907
Epoch 1 | Batch 20/47 | Loss 6.3514 | Rotate Loss 2.0038 | Accuracy 1.690821 | Rotate Accuracy 31.3320 | Time 19.2770
Epoch 1 | Batch 25/47 | Loss 6.2692 | Rotate Loss 1.8909 | Accuracy 1.532887 | Rotate Accuracy 33.7793 | Time 19.4289
Epoch 1 | Batch 30/47 | Loss 6.1709 | Rotate Loss 1.8040 | Accuracy 1.706405 | Rotate Accuracy 35.9981 | Time 19.6001
Epoch 1 | Batch 35/47 | Loss 6.1073 | Rotate Loss 1.7442 | Accuracy 1.630435 | Rotate Accuracy 37.2585 | Time 19.2943
Epoch 1 | Batch 40/47 | Loss 6.1047 | Rotate Loss 1.7387 | Accuracy 1.572994 | Rotate Accuracy 37.6988 | Time 19.6369
Epoch 1 | Batch 45/47 | Loss 6.1304 | Rotate Loss 1.7214 | Accuracy 1.575299 | Rotate Accuracy 38.3428 | Time 19.4621
Epoch 1 : Accuracy 1.640625, Rotate Accuracy 39.859375, Time 1528.921028
Epoch 2 | Batch 0/47 | Loss 6.6402 | Rotate Loss 2.7472 | Accuracy 1.449275 | Rotate Accuracy 42.0290 | Time 19.1954
Epoch 2 | Batch 5/47 | Loss 6.3759 | Rotate Loss 2.1513 | Accuracy 0.845411 | Rotate Accuracy 43.4783 | Time 19.6637
Epoch 2 | Batch 10/47 | Loss 6.4876 | Rotate Loss 2.0371 | Accuracy 1.185771 | Rotate Accuracy 45.1910 | Time 18.8621
Epoch 2 | Batch 15/47 | Loss 6.5036 | Rotate Loss 1.8699 | Accuracy 1.313406 | Rotate Accuracy 45.3351 | Time 19.9026
Epoch 2 | Batch 20/47 | Loss 6.3552 | Rotate Loss 1.7135 | Accuracy 1.207729 | Rotate Accuracy 44.6170 | Time 18.9028
Epoch 2 | Batch 25/47 | Loss 6.2108 | Rotate Loss 1.6074 | Accuracy 1.337793 | Rotate Accuracy 44.4537 | Time 19.0891
Epoch 2 | Batch 30/47 | Loss 6.0857 | Rotate Loss 1.5149 | Accuracy 1.332398 | Rotate Accuracy 45.1379 | Time 19.2601
Epoch 2 | Batch 35/47 | Loss 6.0213 | Rotate Loss 1.4521 | Accuracy 1.469404 | Rotate Accuracy 45.3502 | Time 19.1483
Epoch 2 | Batch 40/47 | Loss 5.9670 | Rotate Loss 1.3960 | Accuracy 1.519972 | Rotate Accuracy 46.0587 | Time 18.8514
Epoch 2 | Batch 45/47 | Loss 5.9373 | Rotate Loss 1.3530 | Accuracy 1.622558 | Rotate Accuracy 46.4556 | Time 19.3799
Epoch 2 : Accuracy 1.687500, Rotate Accuracy 49.265625, Time 1530.443208
Epoch 3 | Batch 0/47 | Loss 5.6454 | Rotate Loss 1.1396 | Accuracy 2.898551 | Rotate Accuracy 50.7246 | Time 19.4394
Epoch 3 | Batch 5/47 | Loss 5.5748 | Rotate Loss 1.1164 | Accuracy 1.690821 | Rotate Accuracy 49.5169 | Time 18.2729
Epoch 3 | Batch 10/47 | Loss 5.6660 | Rotate Loss 1.1518 | Accuracy 1.449275 | Rotate Accuracy 50.5929 | Time 19.8090
Epoch 3 | Batch 15/47 | Loss 5.7483 | Rotate Loss 1.1408 | Accuracy 1.856884 | Rotate Accuracy 50.4529 | Time 19.0796
Epoch 3 | Batch 20/47 | Loss 5.8255 | Rotate Loss 1.1486 | Accuracy 1.863354 | Rotate Accuracy 49.5859 | Time 19.6767
Epoch 3 | Batch 25/47 | Loss 5.8255 | Rotate Loss 1.2726 | Accuracy 1.867336 | Rotate Accuracy 48.4392 | Time 18.8251
Epoch 3 | Batch 30/47 | Loss 5.8784 | Rotate Loss 1.3066 | Accuracy 1.893408 | Rotate Accuracy 47.7326 | Time 18.4590
Epoch 3 | Batch 35/47 | Loss 5.9433 | Rotate Loss 1.3644 | Accuracy 1.831723 | Rotate Accuracy 47.7254 | Time 19.2372
Epoch 3 | Batch 40/47 | Loss 5.9509 | Rotate Loss 1.3800 | Accuracy 1.785083 | Rotate Accuracy 47.8261 | Time 19.2985
Epoch 3 | Batch 45/47 | Loss 5.9398 | Rotate Loss 1.3931 | Accuracy 1.701323 | Rotate Accuracy 47.3377 | Time 19.2545
Epoch 3 : Accuracy 1.375000, Rotate Accuracy 42.203125, Time 1530.758285
Epoch 4 | Batch 0/47 | Loss 6.0001 | Rotate Loss 1.8060 | Accuracy 0.000000 | Rotate Accuracy 42.7536 | Time 19.3034
Epoch 4 | Batch 5/47 | Loss 5.7926 | Rotate Loss 1.7098 | Accuracy 1.932367 | Rotate Accuracy 46.3768 | Time 19.1347
