Namespace(batch_size=32, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-09, init_gain_conv1=1e-09, init_gain_conv2=1e-09, init_gain_conv3=1e-09, init_gain_fc=1e-09, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=20, none_act=0.05, oc1=32, oc2=64, oc3=64, padding=2, reset=1, save_int=5, target_act=1.0, tau_mem_high=20, tau_mem_low=20, tau_ref_high=1.0, tau_ref_low=1.0, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.0, train_samples=100, train_tau=False)
47c21259-a435-404c-8604-df5dbf0e0063
Start Training Backbone
Epoch 1 | Batch 0/63 | Loss 134.8845 | Rotate Loss 77.5110 | Accuracy 4.687500 | Rotate Accuracy 18.7500 | Time 9.6158
Epoch 1 | Batch 5/63 | Loss 123.0007 | Rotate Loss 79.6230 | Accuracy 7.552083 | Rotate Accuracy 20.8333 | Time 9.3433
Epoch 1 | Batch 10/63 | Loss 119.3280 | Rotate Loss 68.2851 | Accuracy 6.392045 | Rotate Accuracy 22.0170 | Time 9.3735
Epoch 1 | Batch 15/63 | Loss 122.2838 | Rotate Loss 69.7115 | Accuracy 5.371094 | Rotate Accuracy 22.7539 | Time 9.3215
Epoch 1 | Batch 20/63 | Loss 117.4335 | Rotate Loss 73.1041 | Accuracy 5.208333 | Rotate Accuracy 24.4792 | Time 9.3898
Epoch 1 | Batch 25/63 | Loss 112.7527 | Rotate Loss 71.8127 | Accuracy 4.927885 | Rotate Accuracy 25.4507 | Time 9.2918
Epoch 1 | Batch 30/63 | Loss 109.1912 | Rotate Loss 69.9375 | Accuracy 4.788306 | Rotate Accuracy 27.2933 | Time 9.3959
Epoch 1 | Batch 35/63 | Loss 106.3712 | Rotate Loss 68.3334 | Accuracy 4.557292 | Rotate Accuracy 28.4939 | Time 9.3340
Epoch 1 | Batch 40/63 | Loss 104.5749 | Rotate Loss 66.8678 | Accuracy 4.535061 | Rotate Accuracy 29.6494 | Time 9.4257
Epoch 1 | Batch 45/63 | Loss 104.8763 | Rotate Loss 64.9190 | Accuracy 4.585598 | Rotate Accuracy 30.8424 | Time 9.4276
Epoch 1 | Batch 50/63 | Loss 103.6287 | Rotate Loss 63.2506 | Accuracy 4.503676 | Rotate Accuracy 31.9700 | Time 9.4245
Epoch 1 | Batch 55/63 | Loss 102.5555 | Rotate Loss 62.2964 | Accuracy 4.687500 | Rotate Accuracy 32.5056 | Time 9.3705
Epoch 1 | Batch 60/63 | Loss 101.1844 | Rotate Loss 61.1766 | Accuracy 4.738730 | Rotate Accuracy 33.0558 | Time 9.4078
Epoch 1 : Accuracy 5.450000, Rotate Accuracy 42.462500, Time 922.441914
Epoch 2 | Batch 0/63 | Loss 74.6183 | Rotate Loss 45.8251 | Accuracy 4.687500 | Rotate Accuracy 44.5312 | Time 9.3551
Epoch 2 | Batch 5/63 | Loss 97.2997 | Rotate Loss 47.6504 | Accuracy 4.166667 | Rotate Accuracy 43.6198 | Time 9.3920
Epoch 2 | Batch 10/63 | Loss 94.3401 | Rotate Loss 45.0172 | Accuracy 4.261364 | Rotate Accuracy 43.7500 | Time 9.4018
Epoch 2 | Batch 15/63 | Loss 94.7461 | Rotate Loss 46.5002 | Accuracy 4.296875 | Rotate Accuracy 44.5801 | Time 9.3796
Epoch 2 | Batch 20/63 | Loss 95.4426 | Rotate Loss 44.9663 | Accuracy 4.985119 | Rotate Accuracy 44.8661 | Time 9.4594
Epoch 2 | Batch 25/63 | Loss 94.5317 | Rotate Loss 44.2228 | Accuracy 5.288462 | Rotate Accuracy 45.2825 | Time 9.3968
Epoch 2 | Batch 30/63 | Loss 95.1408 | Rotate Loss 44.3878 | Accuracy 5.493952 | Rotate Accuracy 45.1361 | Time 9.4198
Epoch 2 | Batch 35/63 | Loss 95.7895 | Rotate Loss 44.4877 | Accuracy 5.425347 | Rotate Accuracy 45.0304 | Time 9.3455
Epoch 2 | Batch 40/63 | Loss 95.2821 | Rotate Loss 43.7010 | Accuracy 5.335366 | Rotate Accuracy 45.1410 | Time 9.3661
Epoch 2 | Batch 45/63 | Loss 95.7630 | Rotate Loss 43.1361 | Accuracy 5.366848 | Rotate Accuracy 45.2446 | Time 9.4619
Epoch 2 | Batch 50/63 | Loss 94.7406 | Rotate Loss 43.0577 | Accuracy 5.300245 | Rotate Accuracy 45.2359 | Time 9.4259
Epoch 2 | Batch 55/63 | Loss 94.9633 | Rotate Loss 43.0583 | Accuracy 5.273438 | Rotate Accuracy 45.2846 | Time 9.3317
Epoch 2 | Batch 60/63 | Loss 96.2280 | Rotate Loss 43.0291 | Accuracy 5.174180 | Rotate Accuracy 45.3765 | Time 9.3629
Epoch 2 : Accuracy 5.450000, Rotate Accuracy 46.087500, Time 917.791847
Epoch 3 | Batch 0/63 | Loss 77.7302 | Rotate Loss 41.0913 | Accuracy 7.812500 | Rotate Accuracy 46.8750 | Time 9.4920
Epoch 3 | Batch 5/63 | Loss 89.8703 | Rotate Loss 42.8081 | Accuracy 5.468750 | Rotate Accuracy 45.9635 | Time 9.3204
Epoch 3 | Batch 10/63 | Loss 90.2138 | Rotate Loss 44.6116 | Accuracy 4.687500 | Rotate Accuracy 46.2358 | Time 9.3143
Epoch 3 | Batch 15/63 | Loss 90.6346 | Rotate Loss 43.1174 | Accuracy 4.687500 | Rotate Accuracy 46.2891 | Time 9.3919
Epoch 3 | Batch 20/63 | Loss 91.2349 | Rotate Loss 41.9432 | Accuracy 4.464286 | Rotate Accuracy 46.2426 | Time 9.4037
Epoch 3 | Batch 25/63 | Loss 92.5550 | Rotate Loss 41.8392 | Accuracy 4.627404 | Rotate Accuracy 46.4543 | Time 9.3643
Epoch 3 | Batch 30/63 | Loss 92.8698 | Rotate Loss 41.7078 | Accuracy 4.737903 | Rotate Accuracy 46.6986 | Time 9.3173
Epoch 3 | Batch 35/63 | Loss 92.0626 | Rotate Loss 41.5692 | Accuracy 4.774306 | Rotate Accuracy 46.7448 | Time 9.3997
Epoch 3 | Batch 40/63 | Loss 92.2422 | Rotate Loss 41.0003 | Accuracy 4.763720 | Rotate Accuracy 46.8750 | Time 9.3368
Epoch 3 | Batch 45/63 | Loss 92.6496 | Rotate Loss 40.1883 | Accuracy 4.857337 | Rotate Accuracy 46.9429 | Time 9.3634
Epoch 3 | Batch 50/63 | Loss 92.6063 | Rotate Loss 40.0611 | Accuracy 5.147059 | Rotate Accuracy 47.1507 | Time 9.3501
Epoch 3 | Batch 55/63 | Loss 92.5049 | Rotate Loss 39.6640 | Accuracy 5.050223 | Rotate Accuracy 47.2098 | Time 9.4823
Epoch 3 | Batch 60/63 | Loss 92.3780 | Rotate Loss 39.8721 | Accuracy 5.071721 | Rotate Accuracy 47.2080 | Time 9.2820
Epoch 3 : Accuracy 5.875000, Rotate Accuracy 47.800000, Time 918.861644
Epoch 4 | Batch 0/63 | Loss 116.1327 | Rotate Loss 42.1189 | Accuracy 4.687500 | Rotate Accuracy 49.2188 | Time 9.3987
Epoch 4 | Batch 5/63 | Loss 94.3621 | Rotate Loss 39.0313 | Accuracy 5.208333 | Rotate Accuracy 48.8281 | Time 9.3949
