Namespace(aux_classes=4, batch_size=16, batch_size_test=4, batch_size_test_test=128, burnin=10, conv_bias=True, delta_t=1, epochs=1, fc_bias=True, init_gain_backbone=0.5, init_gain_fc=1, k1=7, k2=7, log_int=10, lr=1e-08, lr_div=150, n_train=30, none_act=0.05, oc1=8, oc2=24, reset=1, save_int=5, target_act=0.95, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=7.5, tau_syn_low=7.5, test_samples=100, thr=0.5, train_samples=100)
4ce039e3-551a-460a-bca1-b5cbc70db2e9
Start Training Backbone
Epoch 1 | Batch 0/188 | Loss 35707.050781 | Rotate Loss 24026.273438 | Time 4.891373
Epoch 1 | Batch 10/188 | Loss 35061.576705 | Rotate Loss 25053.475142 | Time 5.132031
Epoch 1 | Batch 20/188 | Loss 35066.563058 | Rotate Loss 25493.219122 | Time 5.133377
Epoch 1 | Batch 30/188 | Loss 35000.398564 | Rotate Loss 25490.419103 | Time 5.129514
Epoch 1 | Batch 40/188 | Loss 35103.504573 | Rotate Loss 25467.695884 | Time 5.125794
Epoch 1 | Batch 50/188 | Loss 35046.030331 | Rotate Loss 25192.816330 | Time 22.293507
Epoch 1 | Batch 60/188 | Loss 35065.020108 | Rotate Loss 25136.279073 | Time 5.124051
Epoch 1 | Batch 70/188 | Loss 35046.430898 | Rotate Loss 24999.450594 | Time 5.127450
Epoch 1 | Batch 80/188 | Loss 35071.837240 | Rotate Loss 25006.993056 | Time 5.143239
Epoch 1 | Batch 90/188 | Loss 35114.612466 | Rotate Loss 25031.823146 | Time 5.102601
Epoch 1 | Batch 100/188 | Loss 35127.768410 | Rotate Loss 24983.819152 | Time 5.121117
Epoch 1 | Batch 110/188 | Loss 35081.693834 | Rotate Loss 25021.445312 | Time 5.069676
Epoch 1 | Batch 120/188 | Loss 35071.535221 | Rotate Loss 25070.498838 | Time 5.068968
Epoch 1 | Batch 130/188 | Loss 35050.193374 | Rotate Loss 25151.550215 | Time 5.054470
Epoch 1 | Batch 140/188 | Loss 35061.876274 | Rotate Loss 25170.840703 | Time 5.051663
Epoch 1 | Batch 150/188 | Loss 35078.174203 | Rotate Loss 25199.924772 | Time 5.053570
Epoch 1 | Batch 160/188 | Loss 35081.118012 | Rotate Loss 25219.099524 | Time 5.059649
Epoch 1 | Batch 170/188 | Loss 35076.446043 | Rotate Loss 25234.080683 | Time 5.053130
Epoch 1 | Batch 180/188 | Loss 35084.213506 | Rotate Loss 25265.294069 | Time 5.058333
