Namespace(aux_classes=4, batch_size=32, burnin=10, conv_bias=True, dataset='ASL-DVS', delta_t=1, epochs=400, fc_bias=True, init_gain_backbone=0.5, init_gain_fc=1, k1=7, k2=7, log_int=10, lr=1e-05, lr_div=100, n_train=14, none_act=0.05, oc1=8, oc2=24, reset=1, save_int=5, target_act=0.95, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.5, train_samples=1000)
5c872ef8-a93e-4f78-9cf8-2c589dc810b3
Start Training Backbone
Epoch 1 | Batch 0/438 | Loss 4257.361816 | Rotate Loss 3430.257812 | Time 0.852146
Epoch 1 | Batch 10/438 | Loss 4046.867898 | Rotate Loss 3495.338068 | Time 0.863060
Epoch 1 | Batch 20/438 | Loss 3959.085868 | Rotate Loss 3415.938058 | Time 0.919281
Epoch 1 | Batch 30/438 | Loss 3867.768830 | Rotate Loss 3358.481477 | Time 0.860954
Epoch 1 | Batch 40/438 | Loss 3781.876328 | Rotate Loss 3313.554592 | Time 0.860349
Epoch 1 | Batch 50/438 | Loss 3689.058431 | Rotate Loss 3268.800705 | Time 0.869480
Epoch 1 | Batch 60/438 | Loss 3600.555932 | Rotate Loss 3215.379995 | Time 0.856632
Epoch 1 | Batch 70/438 | Loss 3508.910593 | Rotate Loss 3161.961378 | Time 0.881401
Epoch 1 | Batch 80/438 | Loss 3413.717831 | Rotate Loss 3108.790606 | Time 0.857336
Epoch 1 | Batch 90/438 | Loss 3319.293910 | Rotate Loss 3053.570441 | Time 0.869797
Epoch 1 | Batch 100/438 | Loss 3235.924452 | Rotate Loss 3000.659576 | Time 0.868953
Epoch 1 | Batch 110/438 | Loss 3153.621520 | Rotate Loss 2947.419693 | Time 0.872893
Epoch 1 | Batch 120/438 | Loss 3076.848463 | Rotate Loss 2894.075026 | Time 0.882997
Epoch 1 | Batch 130/438 | Loss 3001.703890 | Rotate Loss 2847.641281 | Time 0.872833
Epoch 1 | Batch 140/438 | Loss 2930.827955 | Rotate Loss 2798.766456 | Time 0.869236
Epoch 1 | Batch 150/438 | Loss 2864.134618 | Rotate Loss 2750.520980 | Time 0.870873
Epoch 1 | Batch 160/438 | Loss 2798.851015 | Rotate Loss 2705.359521 | Time 0.873044
Epoch 1 | Batch 170/438 | Loss 2738.756584 | Rotate Loss 2667.415205 | Time 0.869664
Epoch 1 | Batch 180/438 | Loss 2682.097779 | Rotate Loss 2631.084297 | Time 0.887923
Epoch 1 | Batch 190/438 | Loss 2630.394085 | Rotate Loss 2596.586203 | Time 0.868026
Epoch 1 | Batch 200/438 | Loss 2580.439581 | Rotate Loss 2564.548080 | Time 0.867588
Epoch 1 | Batch 210/438 | Loss 2529.782802 | Rotate Loss 2534.257368 | Time 0.871742
Epoch 1 | Batch 220/438 | Loss 2483.994849 | Rotate Loss 2506.495369 | Time 0.852522
Epoch 1 | Batch 230/438 | Loss 2440.866442 | Rotate Loss 2481.477222 | Time 0.859788
Epoch 1 | Batch 240/438 | Loss 2396.395217 | Rotate Loss 2457.824948 | Time 0.858367
Epoch 1 | Batch 250/438 | Loss 2351.748656 | Rotate Loss 2435.732928 | Time 0.871700
Epoch 1 | Batch 260/438 | Loss 2307.238585 | Rotate Loss 2414.033001 | Time 0.865530
Epoch 1 | Batch 270/438 | Loss 2262.742904 | Rotate Loss 2394.480916 | Time 0.868716
Epoch 1 | Batch 280/438 | Loss 2218.380566 | Rotate Loss 2375.319423 | Time 0.870711
Epoch 1 | Batch 290/438 | Loss 2170.882347 | Rotate Loss 2357.828783 | Time 0.866714
Epoch 1 | Batch 300/438 | Loss 2125.580698 | Rotate Loss 2341.875662 | Time 0.873323
Epoch 1 | Batch 310/438 | Loss 2080.387647 | Rotate Loss 2326.676824 | Time 0.855113
Epoch 1 | Batch 320/438 | Loss 2037.120399 | Rotate Loss 2311.084319 | Time 0.863213
Epoch 1 | Batch 330/438 | Loss 1996.570305 | Rotate Loss 2297.431918 | Time 0.854373
Epoch 1 | Batch 340/438 | Loss 1957.768352 | Rotate Loss 2283.943319 | Time 0.850924
Epoch 1 | Batch 350/438 | Loss 1921.218328 | Rotate Loss 2270.826022 | Time 0.867215
Epoch 1 | Batch 360/438 | Loss 1886.979038 | Rotate Loss 2259.212928 | Time 0.869347
Epoch 1 | Batch 370/438 | Loss 1853.658752 | Rotate Loss 2247.454094 | Time 0.861871
Epoch 1 | Batch 380/438 | Loss 1821.488283 | Rotate Loss 2237.030707 | Time 0.859442
Epoch 1 | Batch 390/438 | Loss 1791.560748 | Rotate Loss 2226.877907 | Time 0.867929
Epoch 1 | Batch 400/438 | Loss 1762.322159 | Rotate Loss 2217.096029 | Time 0.853004
Epoch 1 | Batch 410/438 | Loss 1734.956299 | Rotate Loss 2207.837392 | Time 0.861634
Epoch 1 | Batch 420/438 | Loss 1708.615433 | Rotate Loss 2199.007395 | Time 0.853559
Epoch 1 | Batch 430/438 | Loss 1683.315751 | Rotate Loss 2191.009825 | Time 0.849466
Epoch 1 : Accuracy 7.957143, Rotate Accuracy 25.300000, Time 1047.616405
Epoch 2 | Batch 0/438 | Loss 633.915222 | Rotate Loss 1852.851562 | Time 0.821004
Epoch 2 | Batch 10/438 | Loss 609.835865 | Rotate Loss 1837.975142 | Time 0.853569
Epoch 2 | Batch 20/438 | Loss 618.257999 | Rotate Loss 1827.249628 | Time 0.923355
Epoch 2 | Batch 30/438 | Loss 617.894825 | Rotate Loss 1835.251890 | Time 0.875736
Epoch 2 | Batch 40/438 | Loss 611.748444 | Rotate Loss 1831.389005 | Time 0.836012
Epoch 2 | Batch 50/438 | Loss 611.018975 | Rotate Loss 1831.692479 | Time 0.838777
Epoch 2 | Batch 60/438 | Loss 610.913190 | Rotate Loss 1831.069352 | Time 0.877716
Epoch 2 | Batch 70/438 | Loss 608.854967 | Rotate Loss 1832.635233 | Time 0.858390
Epoch 2 | Batch 80/438 | Loss 608.753056 | Rotate Loss 1831.628665 | Time 0.853986
Epoch 2 | Batch 90/438 | Loss 606.499019 | Rotate Loss 1831.381997 | Time 0.847250
Epoch 2 | Batch 100/438 | Loss 604.689581 | Rotate Loss 1831.641747 | Time 0.847550
Epoch 2 | Batch 110/438 | Loss 604.939497 | Rotate Loss 1832.158010 | Time 0.838739
Epoch 2 | Batch 120/438 | Loss 602.722742 | Rotate Loss 1831.287674 | Time 0.898638
Epoch 2 | Batch 130/438 | Loss 599.929892 | Rotate Loss 1831.231781 | Time 0.844248
Epoch 2 | Batch 140/438 | Loss 599.213662 | Rotate Loss 1829.580508 | Time 0.847250
Epoch 2 | Batch 150/438 | Loss 597.888389 | Rotate Loss 1829.304222 | Time 0.858763
Epoch 2 | Batch 160/438 | Loss 596.498126 | Rotate Loss 1828.342246 | Time 0.859756
Epoch 2 | Batch 170/438 | Loss 595.904826 | Rotate Loss 1828.782392 | Time 0.858279
Epoch 2 | Batch 180/438 | Loss 594.752233 | Rotate Loss 1828.757359 | Time 0.857865
Epoch 2 | Batch 190/438 | Loss 594.168476 | Rotate Loss 1828.681917 | Time 0.856854
Epoch 2 | Batch 200/438 | Loss 593.334158 | Rotate Loss 1828.278277 | Time 0.856756
Epoch 2 | Batch 210/438 | Loss 592.002861 | Rotate Loss 1828.260423 | Time 0.861441
Epoch 2 | Batch 220/438 | Loss 591.646125 | Rotate Loss 1827.615084 | Time 0.857513
Epoch 2 | Batch 230/438 | Loss 590.403947 | Rotate Loss 1828.030557 | Time 0.862887
Epoch 2 | Batch 240/438 | Loss 589.686136 | Rotate Loss 1827.833717 | Time 0.853609
Epoch 2 | Batch 250/438 | Loss 588.791529 | Rotate Loss 1827.498506 | Time 0.849982
Epoch 2 | Batch 260/438 | Loss 588.297705 | Rotate Loss 1827.293313 | Time 0.850207
Epoch 2 | Batch 270/438 | Loss 587.267265 | Rotate Loss 1826.807066 | Time 0.849380
Epoch 2 | Batch 280/438 | Loss 586.845262 | Rotate Loss 1826.802519 | Time 0.842188
Epoch 2 | Batch 290/438 | Loss 586.592442 | Rotate Loss 1826.373013 | Time 0.847353
Epoch 2 | Batch 300/438 | Loss 586.057461 | Rotate Loss 1826.573933 | Time 0.843312
Epoch 2 | Batch 310/438 | Loss 585.258948 | Rotate Loss 1826.277469 | Time 0.843724
Epoch 2 | Batch 320/438 | Loss 584.823020 | Rotate Loss 1825.840197 | Time 0.845556
Epoch 2 | Batch 330/438 | Loss 584.520514 | Rotate Loss 1825.461634 | Time 0.844994
Epoch 2 | Batch 340/438 | Loss 584.164380 | Rotate Loss 1824.967055 | Time 0.849463
Epoch 2 | Batch 350/438 | Loss 583.471104 | Rotate Loss 1824.999622 | Time 0.860406
Epoch 2 | Batch 360/438 | Loss 582.891109 | Rotate Loss 1825.057090 | Time 0.861129
Epoch 2 | Batch 370/438 | Loss 582.357012 | Rotate Loss 1825.050234 | Time 0.860425
Epoch 2 | Batch 380/438 | Loss 581.960662 | Rotate Loss 1824.806205 | Time 0.843849
Epoch 2 | Batch 390/438 | Loss 581.572613 | Rotate Loss 1824.355559 | Time 0.845465
Epoch 2 | Batch 400/438 | Loss 581.259616 | Rotate Loss 1824.300703 | Time 0.848635
Epoch 2 | Batch 410/438 | Loss 580.970106 | Rotate Loss 1823.944609 | Time 0.900580
Epoch 2 | Batch 420/438 | Loss 580.620879 | Rotate Loss 1823.945628 | Time 0.905017
Epoch 2 | Batch 430/438 | Loss 580.392225 | Rotate Loss 1824.313434 | Time 0.898586
Epoch 2 : Accuracy 8.575000, Rotate Accuracy 25.764286, Time 858.018743
Epoch 3 | Batch 0/438 | Loss 541.743347 | Rotate Loss 1787.718750 | Time 0.868998
Epoch 3 | Batch 10/438 | Loss 555.904247 | Rotate Loss 1816.502841 | Time 0.897462
Epoch 3 | Batch 20/438 | Loss 556.328259 | Rotate Loss 1821.161644 | Time 0.904118
Epoch 3 | Batch 30/438 | Loss 557.527893 | Rotate Loss 1821.137727 | Time 0.897655
Epoch 3 | Batch 40/438 | Loss 560.526922 | Rotate Loss 1822.963510 | Time 0.898484
Epoch 3 | Batch 50/438 | Loss 560.255151 | Rotate Loss 1820.887331 | Time 0.902329
Epoch 3 | Batch 60/438 | Loss 558.991905 | Rotate Loss 1817.588947 | Time 0.897300
Epoch 3 | Batch 70/438 | Loss 559.230254 | Rotate Loss 1818.215559 | Time 0.895343
Epoch 3 | Batch 80/438 | Loss 558.383379 | Rotate Loss 1817.307388 | Time 0.896092
Epoch 3 | Batch 90/438 | Loss 558.782898 | Rotate Loss 1817.438144 | Time 0.894314
Epoch 3 | Batch 100/438 | Loss 559.717917 | Rotate Loss 1817.322130 | Time 0.886435
Epoch 3 | Batch 110/438 | Loss 559.118796 | Rotate Loss 1815.901182 | Time 0.895817
Epoch 3 | Batch 120/438 | Loss 559.453006 | Rotate Loss 1815.528506 | Time 0.898693
Epoch 3 | Batch 130/438 | Loss 558.833196 | Rotate Loss 1814.031161 | Time 0.894870
Epoch 3 | Batch 140/438 | Loss 558.982154 | Rotate Loss 1813.151485 | Time 0.897425
Epoch 3 | Batch 150/438 | Loss 558.826807 | Rotate Loss 1812.148412 | Time 0.900656
Epoch 3 | Batch 160/438 | Loss 559.450795 | Rotate Loss 1812.769022 | Time 0.896945
Epoch 3 | Batch 170/438 | Loss 559.025103 | Rotate Loss 1812.727362 | Time 0.899688
Epoch 3 | Batch 180/438 | Loss 558.685701 | Rotate Loss 1813.188363 | Time 0.896697
Epoch 3 | Batch 190/438 | Loss 558.811439 | Rotate Loss 1812.293460 | Time 0.898773
Epoch 3 | Batch 200/438 | Loss 558.722951 | Rotate Loss 1812.534612 | Time 0.897115
Epoch 3 | Batch 210/438 | Loss 558.808242 | Rotate Loss 1811.337863 | Time 0.895634
