Namespace(batch_size=32, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-09, init_gain_conv1=1e-09, init_gain_conv2=1e-09, init_gain_conv3=1e-09, init_gain_fc=1e-09, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=20, none_act=0.05, oc1=32, oc2=64, oc3=64, padding=2, reset=1, save_int=5, target_act=1.0, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=5.0, tau_syn_low=5.0, thr=0.0, train_samples=100, train_tau=False)
792d618f-9571-4e12-b648-e5c44d20d18e
Start Training Backbone
Epoch 1 | Batch 0/63 | Loss 7.3234 | Rotate Loss 2.7178 | Accuracy 3.125000 | Rotate Accuracy 24.2188 | Time 10.5104
Epoch 1 | Batch 5/63 | Loss 6.9387 | Rotate Loss 3.0461 | Accuracy 4.427083 | Rotate Accuracy 23.0469 | Time 10.3919
Epoch 1 | Batch 10/63 | Loss 6.5824 | Rotate Loss 3.4117 | Accuracy 5.539773 | Rotate Accuracy 21.5909 | Time 10.4467
Epoch 1 | Batch 15/63 | Loss 6.4275 | Rotate Loss 3.8064 | Accuracy 5.664062 | Rotate Accuracy 22.0215 | Time 10.3552
Epoch 1 | Batch 20/63 | Loss 6.3048 | Rotate Loss 4.0905 | Accuracy 5.580357 | Rotate Accuracy 22.8051 | Time 10.3909
Epoch 1 | Batch 25/63 | Loss 6.2635 | Rotate Loss 4.2238 | Accuracy 5.168269 | Rotate Accuracy 23.2873 | Time 10.3428
Epoch 1 | Batch 30/63 | Loss 6.1262 | Rotate Loss 4.2329 | Accuracy 4.889113 | Rotate Accuracy 23.0847 | Time 10.4047
Epoch 1 | Batch 35/63 | Loss 6.0438 | Rotate Loss 4.2089 | Accuracy 4.904514 | Rotate Accuracy 23.0686 | Time 10.5552
Epoch 1 | Batch 40/63 | Loss 6.0745 | Rotate Loss 4.1505 | Accuracy 4.839939 | Rotate Accuracy 23.6471 | Time 10.4333
Epoch 1 | Batch 45/63 | Loss 6.0051 | Rotate Loss 4.1026 | Accuracy 4.823370 | Rotate Accuracy 23.8111 | Time 10.5794
Epoch 1 | Batch 50/63 | Loss 5.9970 | Rotate Loss 4.0593 | Accuracy 4.779412 | Rotate Accuracy 24.0196 | Time 10.4294
Epoch 1 | Batch 55/63 | Loss 5.9413 | Rotate Loss 4.0167 | Accuracy 4.547991 | Rotate Accuracy 24.1490 | Time 10.3577
Epoch 1 | Batch 60/63 | Loss 5.8682 | Rotate Loss 3.9931 | Accuracy 4.738730 | Rotate Accuracy 24.3852 | Time 10.2933
Epoch 1 : Accuracy 4.950000, Rotate Accuracy 24.700000, Time 981.159658
Epoch 2 | Batch 0/63 | Loss 4.4920 | Rotate Loss 3.4093 | Accuracy 3.125000 | Rotate Accuracy 17.1875 | Time 10.3958
Epoch 2 | Batch 5/63 | Loss 5.1855 | Rotate Loss 3.5849 | Accuracy 4.687500 | Rotate Accuracy 20.7031 | Time 10.5344
Epoch 2 | Batch 10/63 | Loss 5.1074 | Rotate Loss 3.6753 | Accuracy 6.107955 | Rotate Accuracy 22.3722 | Time 10.4101
Epoch 2 | Batch 15/63 | Loss 5.2092 | Rotate Loss 3.7330 | Accuracy 5.371094 | Rotate Accuracy 21.7285 | Time 10.4547
Epoch 2 | Batch 20/63 | Loss 5.5222 | Rotate Loss 3.7833 | Accuracy 5.133929 | Rotate Accuracy 22.6190 | Time 10.4729
Epoch 2 | Batch 25/63 | Loss 5.5665 | Rotate Loss 3.8241 | Accuracy 5.348558 | Rotate Accuracy 22.1154 | Time 10.3827
Epoch 2 | Batch 30/63 | Loss 5.5316 | Rotate Loss 3.8804 | Accuracy 5.090726 | Rotate Accuracy 21.5474 | Time 10.3597
Epoch 2 | Batch 35/63 | Loss 5.4961 | Rotate Loss 3.9307 | Accuracy 4.730903 | Rotate Accuracy 21.6580 | Time 10.4273
Epoch 2 | Batch 40/63 | Loss 5.5286 | Rotate Loss 3.9949 | Accuracy 4.916159 | Rotate Accuracy 22.1227 | Time 10.3003
Epoch 2 | Batch 45/63 | Loss 5.5266 | Rotate Loss 4.0439 | Accuracy 4.823370 | Rotate Accuracy 22.2826 | Time 10.3613
Epoch 2 | Batch 50/63 | Loss 5.4933 | Rotate Loss 4.1040 | Accuracy 5.116422 | Rotate Accuracy 22.4265 | Time 10.3600
Epoch 2 | Batch 55/63 | Loss 5.4741 | Rotate Loss 4.1377 | Accuracy 5.329241 | Rotate Accuracy 22.6702 | Time 10.4453
Epoch 2 | Batch 60/63 | Loss 5.4287 | Rotate Loss 4.1560 | Accuracy 5.097336 | Rotate Accuracy 22.8099 | Time 10.4278
Epoch 2 : Accuracy 5.000000, Rotate Accuracy 26.112500, Time 978.896089
Epoch 3 | Batch 0/63 | Loss 5.5940 | Rotate Loss 3.7085 | Accuracy 9.375000 | Rotate Accuracy 29.6875 | Time 10.4423
Epoch 3 | Batch 5/63 | Loss 5.6344 | Rotate Loss 3.5462 | Accuracy 7.291667 | Rotate Accuracy 27.2135 | Time 10.3831
Epoch 3 | Batch 10/63 | Loss 5.4170 | Rotate Loss 3.4815 | Accuracy 6.250000 | Rotate Accuracy 27.1307 | Time 10.5000
Epoch 3 | Batch 15/63 | Loss 5.4510 | Rotate Loss 3.5965 | Accuracy 5.664062 | Rotate Accuracy 26.6113 | Time 10.4821
Epoch 3 | Batch 20/63 | Loss 5.5038 | Rotate Loss 3.6747 | Accuracy 5.208333 | Rotate Accuracy 26.3393 | Time 10.3973
Epoch 3 | Batch 25/63 | Loss 5.5303 | Rotate Loss 3.7164 | Accuracy 5.288462 | Rotate Accuracy 26.0216 | Time 10.3080
Epoch 3 | Batch 30/63 | Loss 5.6052 | Rotate Loss 3.7502 | Accuracy 5.141129 | Rotate Accuracy 25.7812 | Time 10.4755
Epoch 3 | Batch 35/63 | Loss 5.5708 | Rotate Loss 3.7597 | Accuracy 5.295139 | Rotate Accuracy 25.3255 | Time 10.5160
Epoch 3 | Batch 40/63 | Loss 5.5697 | Rotate Loss 3.7490 | Accuracy 5.259146 | Rotate Accuracy 24.6951 | Time 10.6937
Epoch 3 | Batch 45/63 | Loss 5.6292 | Rotate Loss 3.7179 | Accuracy 5.095109 | Rotate Accuracy 23.9810 | Time 10.3112
