Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Start Manifold Training Backbone
8996d74e-4f37-4e63-a10b-11e415b38dc7
Epoch 1 | Batch 0/58 | Loss 12.9843 | Rotate Loss 1.6412 | Accuracy 2.898551/0.997735 | Rotate Accuracy 25.3623 | Time 14.3003
Epoch 1 | Batch 5/58 | Loss 12.1796 | Rotate Loss 2.0085 | Accuracy 1.449275/1.078900 | Rotate Accuracy 29.8309 | Time 14.2032
Epoch 1 | Batch 10/58 | Loss 11.8005 | Rotate Loss 1.8513 | Accuracy 1.712780/1.184933 | Rotate Accuracy 33.8603 | Time 14.1453
Epoch 1 | Batch 15/58 | Loss 11.5592 | Rotate Loss 1.8626 | Accuracy 1.268116/1.348436 | Rotate Accuracy 37.2283 | Time 14.3024
Epoch 1 | Batch 20/58 | Loss 11.3588 | Rotate Loss 1.7404 | Accuracy 1.173223/1.386008 | Rotate Accuracy 38.6818 | Time 14.2047
Epoch 1 | Batch 25/58 | Loss 11.1828 | Rotate Loss 1.6802 | Accuracy 1.337793/1.384879 | Rotate Accuracy 39.8551 | Time 14.1631
Epoch 1 | Batch 30/58 | Loss 11.1307 | Rotate Loss 1.6928 | Accuracy 1.332398/1.490882 | Rotate Accuracy 41.3277 | Time 14.1630
Epoch 1 | Batch 35/58 | Loss 10.9064 | Rotate Loss 1.6345 | Accuracy 1.348631/1.562494 | Rotate Accuracy 43.1965 | Time 14.1489
Epoch 1 | Batch 40/58 | Loss 10.7813 | Rotate Loss 1.6123 | Accuracy 1.325557/1.622594 | Rotate Accuracy 44.4503 | Time 14.1979
Epoch 1 | Batch 45/58 | Loss 10.6887 | Rotate Loss 1.6427 | Accuracy 1.339004/1.643126 | Rotate Accuracy 45.1481 | Time 14.2060
Epoch 1 | Batch 50/58 | Loss 10.5804 | Rotate Loss 1.6124 | Accuracy 1.278772/1.630608 | Rotate Accuracy 46.3626 | Time 14.4621
