Namespace(batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=False, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
9b895d68-1ad0-4dcc-ae1a-4c242f500304
Start Training Backbone
Epoch 1 | Batch 0/58 | Loss 8.6773 | Rotate Loss 0.0000 | Accuracy 1.449275 | Rotate Accuracy 0.0000 | Time 5.9979
Epoch 1 | Batch 5/58 | Loss 7.9607 | Rotate Loss 0.0000 | Accuracy 1.570048 | Rotate Accuracy 0.0000 | Time 6.1211
Epoch 1 | Batch 10/58 | Loss 7.5839 | Rotate Loss 0.0000 | Accuracy 1.581028 | Rotate Accuracy 0.0000 | Time 5.9898
Epoch 1 | Batch 15/58 | Loss 7.5064 | Rotate Loss 0.0000 | Accuracy 1.449275 | Rotate Accuracy 0.0000 | Time 6.0807
Epoch 1 | Batch 20/58 | Loss 7.4900 | Rotate Loss 0.0000 | Accuracy 1.483782 | Rotate Accuracy 0.0000 | Time 6.0164
Epoch 1 | Batch 25/58 | Loss 7.4512 | Rotate Loss 0.0000 | Accuracy 1.532887 | Rotate Accuracy 0.0000 | Time 5.9909
Epoch 1 | Batch 30/58 | Loss 7.4606 | Rotate Loss 0.0000 | Accuracy 1.519402 | Rotate Accuracy 0.0000 | Time 6.0092
Epoch 1 | Batch 35/58 | Loss 7.4315 | Rotate Loss 0.0000 | Accuracy 1.590177 | Rotate Accuracy 0.0000 | Time 6.0131
Epoch 1 | Batch 40/58 | Loss 7.3255 | Rotate Loss 0.0000 | Accuracy 1.590668 | Rotate Accuracy 0.0000 | Time 6.0020
Epoch 1 | Batch 45/58 | Loss 7.2470 | Rotate Loss 0.0000 | Accuracy 1.591052 | Rotate Accuracy 0.0000 | Time 5.9990
Epoch 1 | Batch 50/58 | Loss 7.1244 | Rotate Loss 0.0000 | Accuracy 1.633987 | Rotate Accuracy 0.0000 | Time 6.0420
Epoch 1 | Batch 55/58 | Loss 7.0196 | Rotate Loss 0.0000 | Accuracy 1.682195 | Rotate Accuracy 0.0000 | Time 6.0497
Epoch 1 : Accuracy 2.075000, Rotate Accuracy 0.000000, Time 485.309389
