Namespace(aux_classes=4, batch_size=16, burnin=10, conv_bias=True, delta_t=1, epochs=400, fc_bias=True, init_gain_backbone=0.5, init_gain_fc=1, k1=7, k2=7, log_int=10, lr=1e-07, lr_div=100, n_train=15, none_act=0.05, oc1=8, oc2=24, reset=1, save_int=5, target_act=0.95, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.5, train_samples=100)
aa3b7e3b-a59c-4a78-a9b3-6201b44c4b9d
Start Training Backbone
Epoch 1 | Batch 0/94 | Loss 39559.218750 | Rotate Loss 32439.601562 | Time 5.057309
Epoch 1 | Batch 10/94 | Loss 38564.505682 | Rotate Loss 32711.935369 | Time 5.386994
Epoch 1 | Batch 20/94 | Loss 38349.340588 | Rotate Loss 32857.466890 | Time 5.138537
Epoch 1 | Batch 30/94 | Loss 38151.519657 | Rotate Loss 33150.031502 | Time 5.358191
Epoch 1 | Batch 40/94 | Loss 38053.138720 | Rotate Loss 33618.917873 | Time 5.365877
Epoch 1 | Batch 50/94 | Loss 37999.494792 | Rotate Loss 33572.513021 | Time 5.158315
Epoch 1 | Batch 60/94 | Loss 37979.703765 | Rotate Loss 33632.747951 | Time 5.410290
Epoch 1 | Batch 70/94 | Loss 37880.027234 | Rotate Loss 33554.219740 | Time 5.123223
Epoch 1 | Batch 80/94 | Loss 37855.043210 | Rotate Loss 33351.334491 | Time 5.349506
Epoch 1 | Batch 90/94 | Loss 37875.534427 | Rotate Loss 33193.811641 | Time 5.271979
Epoch 1 : Accuracy 7.033333, Rotate Accuracy 27.333333, Time 564.919300
Epoch 2 | Batch 0/94 | Loss 36863.531250 | Rotate Loss 33223.734375 | Time 4.996254
Epoch 2 | Batch 10/94 | Loss 37736.345170 | Rotate Loss 32982.301847 | Time 5.094765
Epoch 2 | Batch 20/94 | Loss 37425.058036 | Rotate Loss 32894.332961 | Time 5.084201
Epoch 2 | Batch 30/94 | Loss 37484.156376 | Rotate Loss 33029.361139 | Time 5.306005
Epoch 2 | Batch 40/94 | Loss 37541.038777 | Rotate Loss 33478.324123 | Time 5.189497
Epoch 2 | Batch 50/94 | Loss 37501.442632 | Rotate Loss 33459.971661 | Time 5.335512
Epoch 2 | Batch 60/94 | Loss 37463.509606 | Rotate Loss 33529.099385 | Time 5.345968
Epoch 2 | Batch 70/94 | Loss 37394.044619 | Rotate Loss 33484.756712 | Time 5.242447
Epoch 2 | Batch 80/94 | Loss 37355.168933 | Rotate Loss 33314.540895 | Time 5.264967
Epoch 2 | Batch 90/94 | Loss 37354.083491 | Rotate Loss 33183.138908 | Time 5.202338
Epoch 2 : Accuracy 6.366667, Rotate Accuracy 27.566667, Time 562.339424
Epoch 3 | Batch 0/94 | Loss 37543.835938 | Rotate Loss 33520.468750 | Time 5.006988
Epoch 3 | Batch 10/94 | Loss 37650.485440 | Rotate Loss 32271.678977 | Time 5.284216
