Namespace(batch_size=32, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-09, init_gain_conv1=1e-09, init_gain_conv2=1e-09, init_gain_conv3=1e-09, init_gain_fc=1e-09, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-10, lr_div=100, n_train=20, none_act=0.05, oc1=32, oc2=64, oc3=64, padding=2, reset=1, save_int=5, target_act=1.0, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2, tau_ref_low=2, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.0, train_samples=100, train_tau=False)
d09c6bf4-ca18-4011-89cc-0d7a2b5c430e
Start Training Backbone
Epoch 1 | Batch 0/63 | Loss 12.6618 | Rotate Loss 5.4312 | Accuracy 3.125000 | Rotate Accuracy 24.2188 | Time 10.5770
Epoch 1 | Batch 5/63 | Loss 7.4266 | Rotate Loss 5.9302 | Accuracy 5.729167 | Rotate Accuracy 25.0000 | Time 10.4277
Epoch 1 | Batch 10/63 | Loss 6.0599 | Rotate Loss 4.7881 | Accuracy 5.681818 | Rotate Accuracy 25.0000 | Time 10.3150
Epoch 1 | Batch 15/63 | Loss 5.6374 | Rotate Loss 4.2092 | Accuracy 6.640625 | Rotate Accuracy 25.0000 | Time 10.2419
Epoch 1 | Batch 20/63 | Loss 5.4090 | Rotate Loss 3.9448 | Accuracy 6.101190 | Rotate Accuracy 25.0000 | Time 10.2966
Epoch 1 | Batch 25/63 | Loss 5.1859 | Rotate Loss 3.4528 | Accuracy 5.889423 | Rotate Accuracy 25.0000 | Time 10.3428
Epoch 1 | Batch 30/63 | Loss 5.1309 | Rotate Loss 3.3733 | Accuracy 5.745968 | Rotate Accuracy 25.0000 | Time 10.2335
Epoch 1 | Batch 35/63 | Loss 5.0199 | Rotate Loss 3.3359 | Accuracy 5.902778 | Rotate Accuracy 25.0000 | Time 10.2716
Epoch 1 | Batch 40/63 | Loss 4.8531 | Rotate Loss 3.1421 | Accuracy 6.097561 | Rotate Accuracy 25.0000 | Time 10.3614
Epoch 1 | Batch 45/63 | Loss 4.7139 | Rotate Loss 3.0313 | Accuracy 5.978261 | Rotate Accuracy 25.0000 | Time 10.4629
Epoch 1 | Batch 50/63 | Loss 4.6448 | Rotate Loss 2.8716 | Accuracy 5.943627 | Rotate Accuracy 25.0000 | Time 10.3424
Epoch 1 | Batch 55/63 | Loss 4.5853 | Rotate Loss 2.7417 | Accuracy 5.859375 | Rotate Accuracy 25.0000 | Time 10.2158
Epoch 1 | Batch 60/63 | Loss 4.4953 | Rotate Loss 2.6332 | Accuracy 5.788934 | Rotate Accuracy 25.0000 | Time 10.2844
