Namespace(batch_size=138, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, tau_mem_high=35.0, tau_mem_low=35.0, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=100, train_tau=False)
d7fa06f0-af40-4132-acd6-fddfd0b2201d
Start Training Backbone
Epoch 1 | Batch 0/47 | Loss 9.1948 | Rotate Loss 4.0548 | Accuracy 1.449275 | Rotate Accuracy 28.9855 | Time 19.7347
Epoch 1 | Batch 5/47 | Loss 7.8945 | Rotate Loss 3.4731 | Accuracy 2.173913 | Rotate Accuracy 29.1063 | Time 19.3437
Epoch 1 | Batch 10/47 | Loss 7.4805 | Rotate Loss 2.9178 | Accuracy 1.581028 | Rotate Accuracy 29.3808 | Time 19.2407
Epoch 1 | Batch 15/47 | Loss 7.3841 | Rotate Loss 2.6703 | Accuracy 1.675725 | Rotate Accuracy 33.6504 | Time 19.0965
Epoch 1 | Batch 20/47 | Loss 7.3000 | Rotate Loss 2.5448 | Accuracy 1.483782 | Rotate Accuracy 33.9199 | Time 19.6629
Epoch 1 | Batch 25/47 | Loss 7.1841 | Rotate Loss 2.4740 | Accuracy 1.337793 | Rotate Accuracy 35.5630 | Time 18.9555
Epoch 1 | Batch 30/47 | Loss 7.1627 | Rotate Loss 2.3507 | Accuracy 1.332398 | Rotate Accuracy 37.3539 | Time 19.5024
Epoch 1 | Batch 35/47 | Loss 7.1603 | Rotate Loss 2.1979 | Accuracy 1.328502 | Rotate Accuracy 38.5668 | Time 18.4904
Epoch 1 | Batch 40/47 | Loss 7.1132 | Rotate Loss 2.1136 | Accuracy 1.378579 | Rotate Accuracy 39.1835 | Time 18.9765
Epoch 1 | Batch 45/47 | Loss 7.0768 | Rotate Loss 2.0283 | Accuracy 1.354757 | Rotate Accuracy 39.9811 | Time 19.0675
Epoch 1 : Accuracy 1.500000, Rotate Accuracy 48.390625, Time 1523.135264
Epoch 2 | Batch 0/47 | Loss 6.5725 | Rotate Loss 1.6611 | Accuracy 0.724638 | Rotate Accuracy 47.1014 | Time 18.9507
Epoch 2 | Batch 5/47 | Loss 6.6465 | Rotate Loss 1.8041 | Accuracy 0.724638 | Rotate Accuracy 48.3092 | Time 19.4538
Epoch 2 | Batch 10/47 | Loss 6.6779 | Rotate Loss 1.6731 | Accuracy 0.922266 | Rotate Accuracy 48.6166 | Time 19.2294
Epoch 2 | Batch 15/47 | Loss 6.7161 | Rotate Loss 1.6843 | Accuracy 1.132246 | Rotate Accuracy 47.8714 | Time 18.7997
Epoch 2 | Batch 20/47 | Loss 6.7391 | Rotate Loss 1.6740 | Accuracy 1.173223 | Rotate Accuracy 48.4472 | Time 18.7450
Epoch 2 | Batch 25/47 | Loss 6.6325 | Rotate Loss 1.6726 | Accuracy 1.282051 | Rotate Accuracy 48.0769 | Time 18.8927
Epoch 2 | Batch 30/47 | Loss 6.6413 | Rotate Loss 1.7395 | Accuracy 1.309023 | Rotate Accuracy 48.1533 | Time 19.0143
Epoch 2 | Batch 35/47 | Loss 6.6825 | Rotate Loss 1.7914 | Accuracy 1.388889 | Rotate Accuracy 47.8865 | Time 19.3270
Epoch 2 | Batch 40/47 | Loss 6.7088 | Rotate Loss 1.8455 | Accuracy 1.413927 | Rotate Accuracy 48.0382 | Time 19.4062
Epoch 2 | Batch 45/47 | Loss 6.6592 | Rotate Loss 1.8159 | Accuracy 1.417769 | Rotate Accuracy 48.1096 | Time 19.0176
Epoch 2 : Accuracy 1.671875, Rotate Accuracy 49.609375, Time 1530.654120
Epoch 3 | Batch 0/47 | Loss 6.2110 | Rotate Loss 1.0625 | Accuracy 1.449275 | Rotate Accuracy 46.3768 | Time 18.3916
Epoch 3 | Batch 5/47 | Loss 6.1331 | Rotate Loss 1.0442 | Accuracy 1.086957 | Rotate Accuracy 49.1546 | Time 19.1730
Epoch 3 | Batch 10/47 | Loss 6.2059 | Rotate Loss 1.1265 | Accuracy 1.054018 | Rotate Accuracy 48.6166 | Time 19.2628
Epoch 3 | Batch 15/47 | Loss 6.2548 | Rotate Loss 1.3595 | Accuracy 1.313406 | Rotate Accuracy 47.0109 | Time 18.9005
Epoch 3 | Batch 20/47 | Loss 6.4664 | Rotate Loss 1.5188 | Accuracy 1.483782 | Rotate Accuracy 46.4113 | Time 19.0236
Epoch 3 | Batch 25/47 | Loss 6.4994 | Rotate Loss 1.4516 | Accuracy 1.477146 | Rotate Accuracy 46.8227 | Time 18.8801
Epoch 3 | Batch 30/47 | Loss 6.5477 | Rotate Loss 1.4617 | Accuracy 1.566152 | Rotate Accuracy 47.2885 | Time 18.9766
Epoch 3 | Batch 35/47 | Loss 6.5893 | Rotate Loss 1.4290 | Accuracy 1.570048 | Rotate Accuracy 47.9066 | Time 18.9083
Epoch 3 | Batch 40/47 | Loss 6.6054 | Rotate Loss 1.4451 | Accuracy 1.590668 | Rotate Accuracy 48.1796 | Time 18.7774
Epoch 3 | Batch 45/47 | Loss 6.6010 | Rotate Loss 1.4653 | Accuracy 1.685570 | Rotate Accuracy 48.2829 | Time 19.4089
Epoch 3 : Accuracy 1.953125, Rotate Accuracy 46.671875, Time 1528.004298
Epoch 4 | Batch 0/47 | Loss 6.5977 | Rotate Loss 1.7475 | Accuracy 0.724638 | Rotate Accuracy 41.3043 | Time 18.4919
Epoch 4 | Batch 5/47 | Loss 6.5678 | Rotate Loss 2.4200 | Accuracy 1.207729 | Rotate Accuracy 45.6522 | Time 18.4322
Epoch 4 | Batch 10/47 | Loss 6.7556 | Rotate Loss 2.3929 | Accuracy 1.449275 | Rotate Accuracy 44.4664 | Time 19.4670
Epoch 4 | Batch 15/47 | Loss 6.7915 | Rotate Loss 2.3782 | Accuracy 1.494565 | Rotate Accuracy 43.9312 | Time 19.1597
Epoch 4 | Batch 20/47 | Loss 6.6824 | Rotate Loss 2.3644 | Accuracy 1.380262 | Rotate Accuracy 44.4444 | Time 18.6931
Epoch 4 | Batch 25/47 | Loss 6.6743 | Rotate Loss 2.1717 | Accuracy 1.449275 | Rotate Accuracy 44.5652 | Time 18.6831
Epoch 4 | Batch 30/47 | Loss 6.6446 | Rotate Loss 2.0318 | Accuracy 1.496026 | Rotate Accuracy 45.4885 | Time 19.4244
Epoch 4 | Batch 35/47 | Loss 6.6477 | Rotate Loss 1.9200 | Accuracy 1.429147 | Rotate Accuracy 45.6723 | Time 18.7148
Epoch 4 | Batch 40/47 | Loss 6.5951 | Rotate Loss 1.8160 | Accuracy 1.572994 | Rotate Accuracy 46.3061 | Time 18.8382
Epoch 4 | Batch 45/47 | Loss 6.5494 | Rotate Loss 1.7199 | Accuracy 1.606805 | Rotate Accuracy 46.7234 | Time 19.7084
Epoch 4 : Accuracy 1.937500, Rotate Accuracy 47.890625, Time 1523.830767
Epoch 5 | Batch 0/47 | Loss 6.2791 | Rotate Loss 1.0550 | Accuracy 1.449275 | Rotate Accuracy 48.5507 | Time 19.1410
Epoch 5 | Batch 5/47 | Loss 6.0898 | Rotate Loss 1.0739 | Accuracy 2.053140 | Rotate Accuracy 46.8599 | Time 19.9508
Epoch 5 | Batch 10/47 | Loss 5.9763 | Rotate Loss 1.0832 | Accuracy 2.042161 | Rotate Accuracy 46.3768 | Time 18.9886
Epoch 5 | Batch 15/47 | Loss 5.9372 | Rotate Loss 1.0590 | Accuracy 1.856884 | Rotate Accuracy 47.9620 | Time 18.5284
Epoch 5 | Batch 20/47 | Loss 5.8973 | Rotate Loss 1.0558 | Accuracy 1.759834 | Rotate Accuracy 48.2747 | Time 18.8065
Epoch 5 | Batch 25/47 | Loss 5.8457 | Rotate Loss 1.0527 | Accuracy 1.783724 | Rotate Accuracy 48.3835 | Time 19.2688
Epoch 5 | Batch 30/47 | Loss 5.8241 | Rotate Loss 1.0567 | Accuracy 1.729780 | Rotate Accuracy 48.1533 | Time 18.8980
