Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Namespace(alpha=2, batch_size=138, burnin=30, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-10, init_gain_conv1=1e-10, init_gain_conv2=1e-10, init_gain_conv3=1e-10, init_gain_fc=1e-10, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=5e-13, lr_div=60, n_train=64, oc1=32, oc2=64, oc3=64, padding=2, save_int=5, self_supervision=True, spike_reg=True, tau_mem_high=35, tau_mem_low=35, tau_ref_high=2.5, tau_ref_low=2.5, tau_syn_high=10, tau_syn_low=10, thr=0.0, train_samples=125, train_tau=False)
Start Manifold Training Backbone
db122d8b-efb6-447b-9023-30299c8e1851
Epoch 1 | Batch 0/58 | Loss 13.9305 | Rotate Loss 1.5643 | Accuracy 2.898551/0.724638 | Rotate Accuracy 33.3333 | Time 14.2412
Epoch 1 | Batch 5/58 | Loss 12.5091 | Rotate Loss 1.5547 | Accuracy 2.173913/2.126835 | Rotate Accuracy 29.1063 | Time 14.1138
Epoch 1 | Batch 10/58 | Loss 12.1943 | Rotate Loss 1.6959 | Accuracy 2.042161/1.767555 | Rotate Accuracy 30.8959 | Time 14.1976
Epoch 1 | Batch 15/58 | Loss 11.8491 | Rotate Loss 1.6203 | Accuracy 2.038043/1.758746 | Rotate Accuracy 33.3333 | Time 14.1607
Epoch 1 | Batch 20/58 | Loss 11.6688 | Rotate Loss 1.6350 | Accuracy 1.932367/1.515321 | Rotate Accuracy 36.9220 | Time 14.1595
Epoch 1 | Batch 25/58 | Loss 11.5378 | Rotate Loss 1.5482 | Accuracy 1.755853/1.536204 | Rotate Accuracy 39.6878 | Time 14.0915
Epoch 1 | Batch 30/58 | Loss 11.4346 | Rotate Loss 1.4895 | Accuracy 1.846657/1.546886 | Rotate Accuracy 40.8602 | Time 14.1232
Epoch 1 | Batch 35/58 | Loss 11.3390 | Rotate Loss 1.5556 | Accuracy 1.871981/1.525555 | Rotate Accuracy 41.7673 | Time 14.1072
Epoch 1 | Batch 40/58 | Loss 11.2148 | Rotate Loss 1.5461 | Accuracy 1.838105/1.610380 | Rotate Accuracy 43.1778 | Time 14.2374
Epoch 1 | Batch 45/58 | Loss 11.0779 | Rotate Loss 1.5263 | Accuracy 1.858853/1.653357 | Rotate Accuracy 44.6597 | Time 14.1929
Epoch 1 | Batch 50/58 | Loss 11.0037 | Rotate Loss 1.5169 | Accuracy 1.804490/1.625886 | Rotate Accuracy 45.8511 | Time 14.1366
