Namespace(aux_classes=4, batch_size=32, burnin=10, conv_bias=True, dataset='ASL-DVS', delta_t=1, epochs=400, fc_bias=True, init_gain_backbone=0.5, init_gain_fc=1, k1=7, k2=7, log_int=10, lr=1e-06, lr_div=100, n_train=14, none_act=0.05, oc1=8, oc2=24, reset=1, save_int=5, target_act=0.95, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.5, train_samples=300)
e132d2e9-b163-40e3-9925-3afb2338d9e4
Start Training Backbone
Epoch 1 | Batch 0/132 | Loss 4290.486816 | Rotate Loss 4724.992188 | Time 0.897171
Epoch 1 | Batch 10/132 | Loss 4109.295011 | Rotate Loss 4502.858665 | Time 0.953990
Epoch 1 | Batch 20/132 | Loss 4081.885696 | Rotate Loss 4524.583147 | Time 0.958890
Epoch 1 | Batch 30/132 | Loss 4102.578243 | Rotate Loss 4498.564642 | Time 0.974438
Epoch 1 | Batch 40/132 | Loss 4084.000137 | Rotate Loss 4485.504668 | Time 0.942392
Epoch 1 | Batch 50/132 | Loss 4083.854751 | Rotate Loss 4482.445389 | Time 0.947080
Epoch 1 | Batch 60/132 | Loss 4073.622775 | Rotate Loss 4479.174244 | Time 0.942237
Epoch 1 | Batch 70/132 | Loss 4073.864337 | Rotate Loss 4472.829776 | Time 0.941322
Epoch 1 | Batch 80/132 | Loss 4063.172719 | Rotate Loss 4465.874807 | Time 0.954129
Epoch 1 | Batch 90/132 | Loss 4049.477593 | Rotate Loss 4454.340917 | Time 0.941613
Epoch 1 | Batch 100/132 | Loss 4047.438216 | Rotate Loss 4449.916770 | Time 0.924201
Epoch 1 | Batch 110/132 | Loss 4036.283223 | Rotate Loss 4438.425746 | Time 0.950496
Epoch 1 | Batch 120/132 | Loss 4022.618705 | Rotate Loss 4435.113765 | Time 0.945179
Epoch 1 | Batch 130/132 | Loss 4013.280374 | Rotate Loss 4426.788049 | Time 0.944125
Epoch 1 : Accuracy 7.511905, Rotate Accuracy 25.250000, Time 307.985465
Epoch 2 | Batch 0/132 | Loss 3935.522461 | Rotate Loss 4299.019531 | Time 0.890572
Epoch 2 | Batch 10/132 | Loss 3914.764560 | Rotate Loss 4280.274503 | Time 0.941889
Epoch 2 | Batch 20/132 | Loss 3912.020903 | Rotate Loss 4303.942150 | Time 0.939129
Epoch 2 | Batch 30/132 | Loss 3886.863659 | Rotate Loss 4290.635837 | Time 0.937545
Epoch 2 | Batch 40/132 | Loss 3865.391566 | Rotate Loss 4306.924638 | Time 0.938784
Epoch 2 | Batch 50/132 | Loss 3868.901966 | Rotate Loss 4294.987209 | Time 0.936116
Epoch 2 | Batch 60/132 | Loss 3863.639268 | Rotate Loss 4275.407275 | Time 0.939422
Epoch 2 | Batch 70/132 | Loss 3853.323493 | Rotate Loss 4267.288897 | Time 0.928204
Epoch 2 | Batch 80/132 | Loss 3841.934260 | Rotate Loss 4261.822049 | Time 0.982095
Epoch 2 | Batch 90/132 | Loss 3831.387811 | Rotate Loss 4241.499313 | Time 0.984955
Epoch 2 | Batch 100/132 | Loss 3824.616752 | Rotate Loss 4237.609646 | Time 0.976779
Epoch 2 | Batch 110/132 | Loss 3811.032004 | Rotate Loss 4229.072776 | Time 0.930939
Epoch 2 | Batch 120/132 | Loss 3799.166179 | Rotate Loss 4220.955901 | Time 0.925241
Epoch 2 | Batch 130/132 | Loss 3792.045289 | Rotate Loss 4213.496630 | Time 0.926378
Epoch 2 : Accuracy 6.916667, Rotate Accuracy 25.363095, Time 279.628738
Epoch 3 | Batch 0/132 | Loss 3799.308105 | Rotate Loss 4101.031250 | Time 0.862190
Epoch 3 | Batch 10/132 | Loss 3709.057972 | Rotate Loss 4077.384943 | Time 0.969733
Epoch 3 | Batch 20/132 | Loss 3697.790783 | Rotate Loss 4105.322545 | Time 0.969388
Epoch 3 | Batch 30/132 | Loss 3655.644689 | Rotate Loss 4056.100554 | Time 0.973942
