Namespace(batch_size=32, burnin=10, conv_bias=True, dataset='DNMNIST', delta_t=1, downsampling=2, epochs=401, fc_bias=True, init_gain_aux=1e-09, init_gain_conv1=1e-09, init_gain_conv2=1e-09, init_gain_conv3=1e-09, init_gain_fc=1e-09, k1=7, k2=7, k3=7, log_int=5, logfile=True, lr=1e-12, lr_div=100, n_train=20, none_act=0.05, oc1=32, oc2=64, oc3=64, padding=2, reset=1, save_int=5, target_act=1.0, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=10.0, tau_syn_low=10.0, thr=0.0, train_samples=100, train_tau=False)
e81baeb3-13ed-4254-ae0a-757bcfe44553
Start Training Backbone
Epoch 1 | Batch 0/63 | Loss 5.8564 | Rotate Loss 3.5935 | Accuracy 9.375000 | Rotate Accuracy 20.3125 | Time 10.6028
Epoch 1 | Batch 5/63 | Loss 7.4789 | Rotate Loss 3.1543 | Accuracy 5.208333 | Rotate Accuracy 22.1354 | Time 10.4396
Epoch 1 | Batch 10/63 | Loss 7.3350 | Rotate Loss 3.2078 | Accuracy 4.545455 | Rotate Accuracy 20.5256 | Time 10.4541
Epoch 1 | Batch 15/63 | Loss 7.1257 | Rotate Loss 3.3146 | Accuracy 5.664062 | Rotate Accuracy 20.6543 | Time 10.3743
Epoch 1 | Batch 20/63 | Loss 7.2411 | Rotate Loss 3.4258 | Accuracy 5.059524 | Rotate Accuracy 20.0149 | Time 10.3879
Epoch 1 | Batch 25/63 | Loss 7.2692 | Rotate Loss 3.5035 | Accuracy 5.108173 | Rotate Accuracy 19.6815 | Time 10.4647
Epoch 1 | Batch 30/63 | Loss 7.2142 | Rotate Loss 3.5822 | Accuracy 5.544355 | Rotate Accuracy 19.0776 | Time 10.5539
Epoch 1 | Batch 35/63 | Loss 7.1362 | Rotate Loss 3.6556 | Accuracy 5.251736 | Rotate Accuracy 18.5330 | Time 10.4908
Epoch 1 | Batch 40/63 | Loss 7.0697 | Rotate Loss 3.7115 | Accuracy 5.297256 | Rotate Accuracy 18.1402 | Time 10.5586
Epoch 1 | Batch 45/63 | Loss 6.9769 | Rotate Loss 3.7725 | Accuracy 5.366848 | Rotate Accuracy 17.9518 | Time 10.3562
Epoch 1 | Batch 50/63 | Loss 6.9294 | Rotate Loss 3.8350 | Accuracy 5.208333 | Rotate Accuracy 17.9994 | Time 10.4911
Epoch 1 | Batch 55/63 | Loss 6.8772 | Rotate Loss 3.8611 | Accuracy 5.133929 | Rotate Accuracy 18.4570 | Time 10.5173
Epoch 1 | Batch 60/63 | Loss 6.7879 | Rotate Loss 3.8709 | Accuracy 5.199795 | Rotate Accuracy 18.7884 | Time 10.2954
Epoch 1 : Accuracy 5.075000, Rotate Accuracy 20.900000, Time 980.637573
Epoch 2 | Batch 0/63 | Loss 6.2682 | Rotate Loss 4.1688 | Accuracy 4.687500 | Rotate Accuracy 20.3125 | Time 10.6293
Epoch 2 | Batch 5/63 | Loss 6.3749 | Rotate Loss 4.2769 | Accuracy 6.510417 | Rotate Accuracy 20.1823 | Time 10.5183
Epoch 2 | Batch 10/63 | Loss 6.1809 | Rotate Loss 4.2463 | Accuracy 5.681818 | Rotate Accuracy 18.7500 | Time 10.4301
Epoch 2 | Batch 15/63 | Loss 6.0654 | Rotate Loss 4.2833 | Accuracy 5.468750 | Rotate Accuracy 17.5293 | Time 10.4604
Epoch 2 | Batch 20/63 | Loss 6.0216 | Rotate Loss 4.2320 | Accuracy 5.505952 | Rotate Accuracy 17.8571 | Time 10.5087
Epoch 2 | Batch 25/63 | Loss 5.9650 | Rotate Loss 4.2825 | Accuracy 5.408654 | Rotate Accuracy 17.9087 | Time 10.4002
Epoch 2 | Batch 30/63 | Loss 6.0206 | Rotate Loss 4.3628 | Accuracy 5.493952 | Rotate Accuracy 18.4224 | Time 10.6450
Epoch 2 | Batch 35/63 | Loss 5.9778 | Rotate Loss 4.4242 | Accuracy 5.512153 | Rotate Accuracy 18.5330 | Time 10.5149
Epoch 2 | Batch 40/63 | Loss 5.8957 | Rotate Loss 4.4894 | Accuracy 5.564024 | Rotate Accuracy 18.6166 | Time 10.3533
